college_name,state,stream,ug_fee,pg_fee,rating,academic,accommodation,faculty,infrastructure,placement,social_life,institute_canonical,match_type,needs_manual_review
Indian Institute of Foreign Trade,West Bengal,Management,"4,00,000","75,000",9,9.2,8.7,9.2,8.9,9.2,8.9,Indian Institute of Foreign Trade,EXACT,False
Globsyn Business School,West Bengal,Management,"7,95,000","14,000",8.1,8.4,7.7,8.1,8.1,8,8,Globsyn Business School,EXACT,False
Seacom Skills University,West Bengal,Management,"1,10,000","60,000",7.5,8.4,6.4,8.9,7.4,6.7,7.3,Seacom Skills University,EXACT,False
Army Institute of Management,West Bengal,Management,"4,26,144",--,8.9,8.7,9,8.8,8.5,9,9.1,Army Institute of Management,EXACT,False
Bengal Institute of Business Studies,West Bengal,Management,"3,66,400",--,7.3,7.3,6.6,7.9,7.1,7.7,7.1,Bengal Institute of Business Studies,EXACT,False
Indian Maritime University,West Bengal,Management,"2,00,000",--,8.1,8.4,7.8,8.4,7.6,8.2,8.3,Indian Maritime University,EXACT,False
The Heritage Academy,West Bengal,Management,"1,26,850",--,8.3,8.8,7.9,8.6,8.8,6.7,8.7,The Heritage Academy,EXACT,False
National Institute of Management,West Bengal,Management,"1,14,000","82,000",8.5,8.4,7.4,8.8,8.7,8.7,8.9,National Institute of Management,EXACT,False
"Inspiria Knowledge Campus, Siliguri",West Bengal,Management,"1,25,000",--,8.1,8.1,7.4,8.4,8.6,8,8.2,"Inspiria Knowledge Campus, Siliguri",EXACT,False
International School of Hospitality Management,West Bengal,Management,"2,42,000",--,8.8,8.6,8.6,9,8.7,8.9,9.2,International School of Hospitality Management,EXACT,False
KIIT School of Management,Odisha,Management,"2,80,000","4,60,000",8.7,8.9,8.5,8.7,9.4,8.2,8.2,KIIT School of Management,EXACT,False
Xavier University,Odisha,Management,"8,60,000","1,67,000",8.2,8.7,7.8,8.4,9.2,6.8,8.4,Xavier University,EXACT,False
International Management Institute,Odisha,Management,"2,55,000","6,00,000",9.2,9.2,9,9.3,9.4,9,9.1,International Management Institute,EXACT,False
Institute of Management and Information Science,Odisha,Management,"2,58,000",--,8.2,8.7,8.3,8.5,7.8,8,7.8,Institute of Management and Information Science,EXACT,False
Gandhi Institute of Management Studies,Odisha,Management,"1,46,000",--,6.4,7,5.5,6.6,7.9,5,6.5,Gandhi Institute of Management Studies,EXACT,False
GITA Autonomous College,Odisha,Management,"75,000",--,8.7,9,8.3,8.9,8.8,8.3,8.6,GITA Autonomous College,EXACT,False
"Astha School of Management, Bhubaneswar",Odisha,Management,"1,60,000",--,9,9.1,8.6,9.3,9.4,8.6,9.1,"Astha School of Management, Bhubaneswar",EXACT,False
Xavier Institute of Management,Odisha,Management,"10,80,000","15,50,000",8.2,8.3,7.9,8.5,8.3,7.9,8.4,Xavier Institute of Management,EXACT,False
Kalinga Institute of Industrial Technology,Odisha,Management,"3,59,000","2,25,000",8.6,8.4,8.1,8.2,9.2,8.6,9,Kalinga Institute of Industrial Technology,EXACT,False
Centurion University of Technology and Management,Odisha,Management,"1,00,000","50,000",8.1,8.3,7.6,8.5,8.4,7.4,8.5,Centurion University of Technology and Management,EXACT,False
KIIT School of Rural Management,Odisha,Management,"7,59,000",--,9.1,9.5,8.9,9.2,9.2,9,8.6,KIIT School of Rural Management,EXACT,False
Sri Sri University,Odisha,Management,"3,51,890","1,21,890",7.1,7.3,6.7,7,7.3,6.3,8.2,Sri Sri University,EXACT,False
"Khallikote University -[KUB], Berhampur",Odisha,Management,"24,700",--,8.6,8.6,8.1,8.7,9,8.2,8.7,"Khallikote University -[KUB], Berhampur",EXACT,False
Indian Institute of Management,Odisha,Management,"13,03,000","9,00,000",8.8,8.8,8.7,9,8.8,9.1,8.5,Indian Institute of Management,EXACT,False
Birla Global University,Odisha,Management,"1,60,000","1,20,000",8.3,8.8,8.1,7.8,8.8,8.1,8.4,Birla Global University,EXACT,False
Siksha 'O' Anusandhan University,Odisha,Management,"3,00,000","1,00,000",8.3,8.6,7.6,8.3,8.7,8,8.5,Siksha 'O' Anusandhan University,EXACT,False
"Srusti Academy of Management, Bhubaneswar",Odisha,Management,"48,450","1,36,950",8.1,8.3,7.7,8.6,8.2,7.3,8.3,Srusti Academy of Management,EXACT,False
Rourkela Institute of Management Studies,Odisha,Management,"47,500","1,12,000",9,9.2,8.8,9.7,9.5,8.3,8.6,Rourkela Institute of Management Studies,EXACT,False
Indian Institute of Tourism and Travel Management,Odisha,Management,"1,08,850","1,88,600",8.7,9.8,7.3,9.7,9.3,8.5,7.3,Indian Institute of Tourism and Travel Management,EXACT,False
Amity Global Business School,Odisha,Management,"1,18,000","2,30,000",8.7,9.3,8.3,9,8.6,8.4,8.8,Amity Global Business School,EXACT,False
NIIS Institute of Information Science & Management,Odisha,Management,"1,55,000","1,15,000",9,9.2,8.7,9.2,9.2,9,8.7,NIIS Institute of Information Science & Management,EXACT,False
"NIIS Institute of Business Administration, Bhubaneswar",Odisha,Management,"1,10,000",--,7.4,7.8,7.5,7.8,7,7.8,6.3,NIIS Institute of Business Administration,EXACT,False
United School of Business Management,Odisha,Management,"1,14,000",--,8.6,9,8,9,8.3,8.3,9,United School of Business Management,EXACT,False
Madhusudan Institute of Cooperative Management,Odisha,Management,"51,000",--,5.5,7,6.5,8,4,3.5,4,Madhusudan Institute of Cooperative Management,EXACT,False
DAV School of Business Management,Odisha,Management,"80,000",--,7.8,8.4,7.1,8.6,7.9,6.1,8.5,DAV School of Business Management,EXACT,False
Attitude Business School,Odisha,Management,"3,00,000",--,--,--,--,--,--,--,--,Attitude Business School,EXACT,False
Institute of Professional Studies and Research,Odisha,Management,"65,000","95,000",7.4,7.9,7.6,8.5,7.1,6,7.5,Institute of Professional Studies and Research,EXACT,False
College of IT & Management Education,Odisha,Management,"1,03,500",--,8.1,9.6,5.2,9.6,8.6,7.2,8.2,College of IT & Management Education,EXACT,False
"Department of Management Studies, Indian Institute of",Uttarakhand,Management,"4,09,680","14,680",8.9,8.9,8.7,8.9,9.3,9.1,8.4,Department of Management Studies,EXACT,False
Indian Institute of Management,Uttarakhand,Management,"7,82,500","9,50,000",8.7,8.6,8.7,8.9,8.9,8.5,8.3,Indian Institute of Management,EXACT,False
University of Petroleum and Energy Studies,Uttarakhand,Management,"8,41,500","13,34,000",8.1,8.1,7.8,7.9,8.6,7.7,8.2,University of Petroleum and Energy Studies,EXACT,False
IMS Unison University,Uttarakhand,Management,"2,72,726","1,79,200",8.2,8.2,8,8.5,8.5,7.5,8.2,IMS Unison University,EXACT,False
Doon Business School,Uttarakhand,Management,"2,53,000","1,81,500",7.6,8,7,8.1,7.4,7.4,7.7,Doon Business School,EXACT,False
Roorkee Institute of Technology,Uttarakhand,Management,"1,22,000",--,8.5,8.5,8.5,8.6,8.7,8.4,8.5,Roorkee Institute of Technology,EXACT,False
ICFAI Business School,Uttarakhand,Management,"2,68,500",--,8.9,9,8.8,9.1,8.6,8.7,9,ICFAI Business School,EXACT,False
"Uttaranchal Institute of Management, Dehradun",Uttarakhand,Management,"82,000","1,48,000",6.8,6.8,5.5,6.8,7.8,5.5,8.3,Uttaranchal Institute of Management,EXACT,False
"Doon University, Dehradun",Uttarakhand,Management,"81,750","47,750",7.2,7.3,7,7.3,7.9,6.3,7.6,"Doon University, Dehradun",EXACT,False
"Uttaranchal University, Dehradun",Uttarakhand,Management,"1,79,200","1,55,000",7.5,7.8,6.8,7.7,8.6,6.5,7.5,"Uttaranchal University, Dehradun",EXACT,False
Graphic Era University,Uttarakhand,Management,"2,71,000","1,36,300",8.3,8.2,7.9,8.4,8.6,8.1,8.4,Graphic Era University,EXACT,False
Graphic Era Hill University,Uttarakhand,Management,"2,67,000","1,42,800",8.1,7.9,7.8,8.1,8.4,7.7,8.4,Graphic Era Hill University,EXACT,False
"ICFAI University, Dehradun",Uttarakhand,Management,"2,61,000","2,40,000",7.8,8.2,7.5,8.2,7.4,7.3,7.9,"ICFAI University, Dehradun",EXACT,False
"MotherHood University, Roorkee",Uttarakhand,Management,"1,05,000",--,8,8.3,7.9,7.6,8,8,8.3,"MotherHood University, Roorkee",EXACT,False
Himgiri Zee University,Uttarakhand,Management,"1,20,000","70,000",7.9,8.5,5.5,9,8,7.7,8.8,Himgiri Zee University,EXACT,False
Swami Rama Himalayan University,Uttarakhand,Management,"1,91,000","1,18,850",7,7.1,6.6,6.9,7.4,7.1,6.7,Swami Rama Himalayan University,EXACT,False
Shri Guru Ram Rai University,Uttarakhand,Management,"61,300","94,400",7.6,7.8,7.1,7.9,7.9,7.3,7.7,Shri Guru Ram Rai University,EXACT,False
UPES Centre for Continuing Education,Uttarakhand,Management,"72,500","36,250",7.9,8.7,8,8,8,7.3,7.3,UPES Centre for Continuing Education,EXACT,False
Academy of Management Studies,Uttarakhand,Management,"1,00,650","54,000",--,--,--,--,--,--,--,Academy of Management Studies,EXACT,False
Institute of Clinical Research,Uttarakhand,Management,"2,00,000",--,--,--,--,--,--,--,--,Institute of Clinical Research,EXACT,False
College of Agribusiness Management,Uttarakhand,Management,"5,39,328",--,7,7,6,7,8,8,6,College of Agribusiness Management,EXACT,False
"Nimbus Academy of Management- [NAM], Dehradun",Uttarakhand,Management,"50,000","1,00,000",8.4,8.4,7.8,8.8,8.4,8.2,8.7,Nimbus Academy of Management- [NAM],EXACT,False
Quantum School of Business,Uttarakhand,Management,"67,000","1,47,000",7.2,7.2,7.1,7.1,6.9,7.1,7.5,Quantum School of Business,EXACT,False
Dev Bhoomi Institute of Management Studies,Uttarakhand,Management,"79,200",--,9,9,--,--,9,9,--,Dev Bhoomi Institute of Management Studies,EXACT,False
Greenway Institute of Management Studies,Uttarakhand,Management,--,--,6.1,7,5.5,6.5,6.5,4,7,Greenway Institute of Management Studies,EXACT,False
"BRD College of Management and Sciences, Dehradun",Uttarakhand,Management,"50,000",--,--,--,--,--,--,--,--,BRD College of Management and Sciences,EXACT,False
Selaqui Institute of Management,Uttarakhand,Management,"1,43,000",--,--,--,--,--,--,--,--,Selaqui Institute of Management,EXACT,False
Himalayan School of Management Studies,Uttarakhand,Management,"1,49,400","1,86,000",8.7,--,--,--,--,--,--,Himalayan School of Management Studies,EXACT,False
"Sai Business and Media School, Dehradun",Uttarakhand,Management,"72,600","92,600",--,--,--,--,--,--,--,"Sai Business and Media School, Dehradun",EXACT,False
"Loyola College, Chennai",Tamil Nadu,Science,"16,790","85,250",8.6,8.7,8.2,8.3,8.9,8.4,8.8,"Loyola College, Chennai",EXACT,False
Madras Christian College,Tamil Nadu,Science,"24,500",--,8.6,8.5,7.9,8.6,8.7,8.4,9.2,Madras Christian College,EXACT,False
"Presidency College, Chennai",Tamil Nadu,Science,"1,270",930,8.2,8.8,7.3,8.9,8.1,7.6,8.6,"Presidency College, Chennai",EXACT,False
"Stella Maris College, Chennai",Tamil Nadu,Science,"22,895","15,000",8.2,8.8,7.5,8.6,8.4,7.6,8.5,"Stella Maris College, Chennai",EXACT,False
"PSG College of Arts and Science, Coimbatore",Tamil Nadu,Science,"7,000","10,000",8.3,8.5,7.9,8.2,8.5,8.2,8.7,PSG College of Arts and Science,EXACT,False
"PSGR Krishnammal College for Women, Coimbatore",Tamil Nadu,Science,"1,761","2,258",8.8,9.1,8.3,8.6,8.9,8.7,9,PSGR Krishnammal College for Women,EXACT,False
"Ethiraj College for Women, Chennai",Tamil Nadu,Science,"10,056",--,8.1,8.5,7.3,8.2,7.9,7.9,8.6,"Ethiraj College for Women, Chennai",EXACT,False
"Scott Christian College, Nagercoil",Tamil Nadu,Science,--,--,8.4,8.3,8,8.7,8.8,7.9,8.4,"Scott Christian College, Nagercoil",EXACT,False
Women's Christian College,Tamil Nadu,Science,"40,914","65,264",8.7,9,7.9,8.8,9.1,8.5,8.9,Women's Christian College,EXACT,False
"Government Arts College (Autonomous), Coimbatore",Tamil Nadu,Science,"1,375",935,7.7,8.8,6.7,8.5,7.4,6.3,8.6,Government Arts College (Autonomous),EXACT,False
"Thiagarajar College, Madurai",Tamil Nadu,Science,"40,170","26,555",7.5,7.9,7.1,8,7.1,7.2,7.9,"Thiagarajar College, Madurai",EXACT,False
"St. Joseph's College, Tiruchirappalli",Tamil Nadu,Science,"8,930",--,8.6,9.1,7.9,8.7,9.1,8,8.8,"St. Joseph's College, Tiruchirappalli",EXACT,False
"Queen Mary's College, Chennai",Tamil Nadu,Science,622,"1,532",7.6,7.9,6.9,8.3,6.8,7.6,8.2,"Queen Mary's College, Chennai",EXACT,False
Bishop Heber College,Tamil Nadu,Science,"33,600","91,140",8.3,8.5,7.8,8.2,8.9,8.1,8.4,Bishop Heber College,EXACT,False
Ayya Nadar Janaki Ammal College,Tamil Nadu,Science,"20,525","26,550",8,8.5,7.7,8.4,8.5,6.8,7.8,Ayya Nadar Janaki Ammal College,EXACT,False
"Kongunadu Arts and Science College, Coimbatore",Tamil Nadu,Science,"40,000","38,000",7.3,8,6.7,8.3,7.3,6.3,7,Kongunadu Arts and Science College,EXACT,False
"M.O.P. Vaishnav College for Women, Chennai",Tamil Nadu,Science,--,--,8.5,8.7,8.1,8.7,8.4,8.3,9,M.O.P. Vaishnav College for Women,EXACT,False
"CMS College of Science and Commerce, Coimbatore",Tamil Nadu,Science,"42,000",--,8.2,8.3,7.4,8.1,8.5,8,8.7,CMS College of Science and Commerce,EXACT,False
"Sri Krishna Arts and Science College, Coimbatore",Tamil Nadu,Science,"16,000",--,8.5,8.6,7.8,8.6,8.9,8.7,8.5,Sri Krishna Arts and Science College,EXACT,False
Jamal Mohamed College,Tamil Nadu,Science,"26,000","34,000",8.5,8.8,8.1,8.5,8.6,8.4,8.6,Jamal Mohamed College,EXACT,False
Sri Ramakrishna Mission Vidyalaya College of Arts,Tamil Nadu,Science,"7,300","13,270",8.6,8.8,7.7,8.9,9,8.1,8.9,Sri Ramakrishna Mission Vidyalaya College of Arts,EXACT,False
"Sri Ramakrishna College of Arts and Science,",Tamil Nadu,Science,"52,000","52,000",8.2,8.2,7.3,8.7,7.7,8.2,8.8,Sri Ramakrishna College of Arts and Science,EXACT,False
Virudhunagar Hindu Nadar's Senthikumara Nadar College,Tamil Nadu,Science,879,"1,464",8.5,9,8.3,8.4,8.8,7.9,8.6,Virudhunagar Hindu Nadar's Senthikumara Nadar College,EXACT,False
Madras School of Social Work,Tamil Nadu,Science,"51,200","75,000",8.1,9,8.2,8.2,6.7,8,8.2,Madras School of Social Work,EXACT,False
Dr. N.G.P. Arts and Science College,Tamil Nadu,Science,"1,40,000",--,7.6,7.8,7.1,7.5,8.4,7.7,7,Dr. N.G.P. Arts and Science College,EXACT,False
"Guru Nanak College, Chennai",Tamil Nadu,Science,"9,500","11,450",7.9,8.2,7.1,8,8.4,7.3,8.5,"Guru Nanak College, Chennai",EXACT,False
"Vellalar College for Women, Erode",Tamil Nadu,Science,"2,646","2,136",8.1,8.5,7.6,8.3,8.5,7.7,8.1,"Vellalar College for Women, Erode",EXACT,False
"St. Xavier's College (Autonomous), Palayamkottai",Tamil Nadu,Science,"6,465","5,356",8.4,8.3,8,8.7,8.6,7.7,8.8,St. Xavier's College (Autonomous),EXACT,False
"V. O. Chidambaram College, Thoothukkudi",Tamil Nadu,Science,"5,000","9,850",7.3,8.3,7.3,7,7.6,5.6,7.7,"V. O. Chidambaram College, Thoothukkudi",EXACT,False
"Lady Doak College, Madurai",Tamil Nadu,Science,"1,81,000","43,300",8.4,9.1,7.2,8.7,8.6,8.4,8.2,"Lady Doak College, Madurai",EXACT,False
"Fergusson College, Pune",Maharashtra,Science,"11,135","50,780",8.1,8.5,7.3,8.2,8.5,7.1,8.7,"Fergusson College, Pune",EXACT,False
"St. Xavier's College, Mumbai",Maharashtra,Science,"7,187","15,674",8.2,8.7,7.3,8.3,8.8,7.6,8.7,"St. Xavier's College, Mumbai",EXACT,False
D.G. Ruparel College of Arts Science and,Maharashtra,Science,"7,005",--,7.9,8.3,7.5,8.1,8.6,6.8,8.2,D.G. Ruparel College of Arts Science and,EXACT,False
"Mithibai College of Arts, Mumbai",Maharashtra,Science,"55,000","50,000",8.5,8.5,8.3,8.4,8.9,7.6,9,"Mithibai College of Arts, Mumbai",EXACT,False
"Ramnarain Ruia Autonomous College, Mumbai",Maharashtra,Science,"37,295","7,450",7.9,8.4,7,8,8.4,6.6,8.9,Ramnarain Ruia Autonomous College,EXACT,False
B.K Birla College Of Arts Science &,Maharashtra,Science,"28,800","10,270",7.6,8,6.5,8.1,8.1,6.6,8,B.K Birla College Of Arts Science &,EXACT,False
Jai Hind College,Maharashtra,Science,"6,130","13,602",8.5,8.5,8.3,8.5,8.4,7.8,9.2,Jai Hind College,EXACT,False
Kishinchand Chellaram College,Maharashtra,Science,"10,735","50,920",8.3,8.6,7.9,8.5,8.4,7.4,8.7,Kishinchand Chellaram College,EXACT,False
Rajiv Gandhi Institute of Information Technology and,Maharashtra,Science,"70,000","1,05,000",8.3,8.6,7.4,9.6,8.1,7.4,8.8,Rajiv Gandhi Institute of Information Technology and,EXACT,False
"Sophia College for Women, Mumbai",Maharashtra,Science,"47,340",--,8.6,9.1,8.4,9.1,9.5,6.6,9,"Sophia College for Women, Mumbai",EXACT,False
IIT Bombay,Maharashtra,Science,"38,000","2,28,000",8.9,9.3,7.9,8.7,8.9,9.1,9.2,IIT Bombay,EXACT,False
Institute of Chemical Technology,Maharashtra,Science,"55,750","64,500",8.7,9.1,8.1,8.9,8.7,8.4,9.1,Institute of Chemical Technology,EXACT,False
Savitribai Phule Pune University,Maharashtra,Science,"21,000","5,850",7.6,8.1,7.1,7.9,7.9,6.8,7.5,Savitribai Phule Pune University,EXACT,False
Dr DY Patil Vidyapeeth,Maharashtra,Science,"1,25,000",--,8.4,8.9,8.4,8.4,8.6,7.3,9,Dr DY Patil Vidyapeeth,EXACT,False
"DY Patil University, Navi Mumbai",Maharashtra,Science,"1,20,000","1,25,000",7.5,7.3,7.1,7.7,7.5,7.4,7.8,"DY Patil University, Navi Mumbai",EXACT,False
"Narsee Monjee College of Commerce and Economics,",Maharashtra,Science,"40,000",--,8.3,8.7,7.5,8.4,8.5,7.8,8.6,Narsee Monjee College of Commerce and Economics,EXACT,False
SP Jain Institute of Management and Research,Maharashtra,Science,--,--,8.7,9,8.3,9,8.8,9,8.1,SP Jain Institute of Management and Research,EXACT,False
Mahatma Phule Krishi Vidyapeeth,Maharashtra,Science,--,--,8.3,8.1,8,8.6,8.7,7.9,8.4,Mahatma Phule Krishi Vidyapeeth,EXACT,False
"Jamnalal Bajaj Institute of Management Studies -[JBIMS],",Maharashtra,Science,"3,04,000",--,8.8,9.1,8.6,9.1,8.7,9.2,8.3,Jamnalal Bajaj Institute of Management Studies -[JBIMS],EXACT,False
"RA Podar College of Commerce and Economics,",Maharashtra,Science,500,--,7.7,8.8,6.8,8.1,7.4,7.1,8.2,RA Podar College of Commerce and Economics,EXACT,False
"Government Dental College & Hospital, Aurangabad",Maharashtra,Science,--,--,7.4,9,5,8.3,6,8.3,7.7,Government Dental College & Hospital,EXACT,False
Armed Forces Medical College,Maharashtra,Science,--,--,9.7,9.4,9.7,9.7,9.6,9.9,9.9,Armed Forces Medical College,EXACT,False
Narsee Monjee Institute of Management Studies,Maharashtra,Science,"1,52,000","1,77,000",8.1,8.4,7.6,8.5,8.1,7.9,8.2,Narsee Monjee Institute of Management Studies,EXACT,False
ILS Law College,Maharashtra,Science,--,--,7.3,8,5.6,7.7,7.7,6.6,8,ILS Law College,EXACT,False
Visvesvaraya National Institute of Technology,Maharashtra,Science,"59,800","34,800",8.1,8.3,7.5,8,8.4,7.7,8.7,Visvesvaraya NIT,EXACT,False
Grant Medical College and Sir J. J.,Maharashtra,Science,--,--,8.8,8.5,8.2,8.4,9.1,9.1,9.7,Grant Medical College and Sir J. J.,EXACT,False
Seth GS Medical College,Maharashtra,Science,"67,230","67,230",8,8.8,6.7,7.6,8,8.2,8.4,Seth GS Medical College,EXACT,False
Central Institute of Fisheries Education,Maharashtra,Science,"16,700","16,700",8.9,9,9.7,8.5,9.7,8.2,8.4,Central Institute of Fisheries Education,EXACT,False
St Andrew's College of Arts Science and,Maharashtra,Science,"25,197",--,8.2,8.4,7.2,8.3,8.6,7.6,8.8,St Andrew's College of Arts Science and,EXACT,False
Modern College of Arts Science and Commerce,Maharashtra,Science,--,--,7.5,8,6.6,8.3,7.3,6.9,7.6,Modern College of Arts Science and Commerce,EXACT,False
Indian Institute of Technology,Uttar Pradesh,Science,"20,050","2,15,600",8.9,9.1,8.4,8.7,9.3,8.9,9.1,IIT,EXACT,False
Sanjay Gandhi Postgraduate Institute of Medical Sciences,Uttar Pradesh,Science,--,--,7.5,7,6.2,8.2,8.2,7.8,7.8,Sanjay Gandhi Postgraduate Institute of Medical Sciences,EXACT,False
Banaras Hindu University,Uttar Pradesh,Science,"4,400","6,720",8.3,8.7,8.1,8.4,8.8,7.2,8.6,Banaras Hindu University,EXACT,False
King George's Medical University,Uttar Pradesh,Science,"73,000",--,8.9,9.3,8.2,9.1,9.4,9.1,8.4,King George's Medical University,EXACT,False
Indian Institute of Technology,Uttar Pradesh,Science,"36,815","37,315",8.5,8.5,8.2,8.1,7.6,9.1,9.2,IIT,EXACT,False
Indian Veterinary Research Institute,Uttar Pradesh,Science,"15,900",--,8.9,8.4,9.4,8.7,9.3,8.7,8.8,Indian Veterinary Research Institute,EXACT,False
Aligarh Muslim University,Uttar Pradesh,Science,"93,720","8,980",8.3,8.8,7.9,8.5,8.8,7.2,8.6,Aligarh Muslim University,EXACT,False
"Faculty of Law, Banaras Hindu University, Varanasi",Uttar Pradesh,Science,--,--,7.3,8.7,7.7,8.7,7.2,5,6.6,Faculty of Law,EXACT,False
Institute of Medical Sciences,Uttar Pradesh,Science,--,--,8.6,9.2,7.5,8.9,8.2,9.2,8.4,Institute of Medical Sciences,EXACT,False
"Amity University, Noida",Uttar Pradesh,Science,"1,20,000","80,000",8.2,8,7.9,8.1,8.9,7.6,8.7,"Amity University, Noida",EXACT,False
MNNIT Allahabad,Uttar Pradesh,Science,"82,000","63,000",8,8.4,7.3,7.8,7.1,8.9,8.2,MNNIT Allahabad,EXACT,False
"Amity University, Lucknow",Uttar Pradesh,Science,"48,000","1,08,000",8.1,8,7.6,8.1,8.8,7.1,8.8,"Amity University, Lucknow",EXACT,False
"Lloyd Law College, Greater Noida",Uttar Pradesh,Science,--,--,7.5,8.5,7.2,7.8,7.8,7.1,6.8,"Lloyd Law College, Greater Noida",EXACT,False
Chaudhary Charan Singh University,Uttar Pradesh,Science,"4,655","4,715",6.4,6.6,6.1,7.3,6.6,4.9,6.6,Chaudhary Charan Singh University,EXACT,False
"National Post Graduate College, Lucknow",Uttar Pradesh,Science,--,--,7.6,8.6,7.4,8.5,7.6,6.8,6.7,"National Post Graduate College, Lucknow",EXACT,False
IMS Design and Innovation Academy,Uttar Pradesh,Science,"2,37,000",--,8.6,8.5,8,9,9,8,9,IMS Design and Innovation Academy,EXACT,False
Jaypee Institute of Information Technology University,Uttar Pradesh,Science,"50,000",--,7.8,7.8,7.7,7.3,8.2,7.8,7.7,Jaypee Institute of Information Technology University,EXACT,False
Indian Institute of Information Technology,Uttar Pradesh,Science,"71,700",--,8.3,8.4,7.4,7.6,9,9.2,8.1,IIIT,EXACT,False
Sam Higginbottom University of Agriculture Technology and,Uttar Pradesh,Science,"39,000","71,000",7.2,7.6,6.6,7.5,7.5,6,7.9,Sam Higginbottom University of Agriculture Technology and,EXACT,False
"Dayalbagh Educational Institute Faculty of Engineering, Agra",Uttar Pradesh,Science,"15,840",--,8,8.3,7.1,8.5,8.1,8.2,8,Dayalbagh Educational Institute Faculty of Engineering,EXACT,False
Ewing Christian College,Uttar Pradesh,Science,"9,260","40,000",7,8.2,5.7,7.9,7.5,5.1,7.8,Ewing Christian College,EXACT,False
"CHM Institute of Hotel and Business Management,",Uttar Pradesh,Science,--,--,--,--,--,--,--,--,--,CHM Institute of Hotel and Business Management,EXACT,False
Teerthanker Mahaveer University,Uttar Pradesh,Science,"40,400","99,000",8.1,8.3,7.6,8.2,8.7,7.3,8.3,Teerthanker Mahaveer University,EXACT,False
"Presidency College of Education and Technology, Meerut",Uttar Pradesh,Science,--,--,--,--,--,--,--,--,--,Presidency College of Education and Technology,EXACT,False
"Mewar Institute of Management, Ghaziabad",Uttar Pradesh,Science,"30,000","45,000",7.9,8.3,6.6,8.7,7.9,8.3,7.7,"Mewar Institute of Management, Ghaziabad",EXACT,False
Rajiv Academy for Technology and Management,Uttar Pradesh,Science,"22,900",--,8.6,9.4,8.1,9,8.1,8.5,8.5,Rajiv Academy for Technology and Management,EXACT,False
Mangalayatan University,Uttar Pradesh,Science,"25,000","30,000",7.9,7.8,7.8,8.2,8.4,7.1,8.1,Mangalayatan University,EXACT,False
Institute of Technology and Science,Uttar Pradesh,Science,"61,000","72,000",8.2,8.6,7.5,8.3,8.6,7.9,8.1,Institute of Technology and Science,EXACT,False
Indian Institute of Sugarcane Research,Uttar Pradesh,Science,--,--,8.7,8,9,9,8,9,9,Indian Institute of Sugarcane Research,EXACT,False
DAV College,Uttar Pradesh,Science,"9,550","48,000",6.7,7.5,5.6,7.3,7,5.8,7.1,DAV College,EXACT,False
"St Stephen's College, New Delhi",Delhi,Science,"42,835",--,8.7,9.2,7.6,9.1,8.6,8.6,9.1,"St Stephen's College, New Delhi",EXACT,False
"Hindu College, New Delhi",Delhi,Science,"20,460","19,710",8.4,8.8,7.9,8.7,8.5,7.6,9,"Hindu College, New Delhi",EXACT,False
Lady Shri Ram College for Women,Delhi,Science,"20,670",--,8.5,8.8,7.9,8.6,8.6,8,8.9,Lady Shri Ram College for Women,EXACT,False
"Miranda House, New Delhi",Delhi,Science,"19,800","16,170",8.6,9.1,8.5,8.5,9.3,7.1,8.9,"Miranda House, New Delhi",EXACT,False
Hansraj College,Delhi,Science,"24,515","16,554",8.4,8.7,7.9,8.7,8.5,7.8,8.9,Hansraj College,EXACT,False
Kirori Mal College,Delhi,Science,"14,595","9,339",8.2,8.7,7.6,8.6,7.9,7.3,8.9,Kirori Mal College,EXACT,False
"Ramjas College, New Delhi",Delhi,Science,"14,610","14,404",7.9,8.4,7.1,8.4,7.9,7,8.5,"Ramjas College, New Delhi",EXACT,False
"Sri Venkateswara College, New Delhi",Delhi,Science,"14,555","13,191",8.3,8.7,7.8,8.5,8.2,7.9,8.8,"Sri Venkateswara College, New Delhi",EXACT,False
Atma Ram Sanatan Dharma College,Delhi,Science,"13,345",--,7.8,8.4,6.7,8.4,8,6.8,8.7,Atma Ram Sanatan Dharma College,EXACT,False
"Deen Dayal Upadhyaya College, New Delhi",Delhi,Science,"19,345",--,7.9,8.4,7.4,8.3,8.4,6.5,8.2,"Deen Dayal Upadhyaya College, New Delhi",EXACT,False
Dyal Singh College,Delhi,Science,"15,860",--,7.7,8.2,6.9,8.1,7.7,7.1,8.3,Dyal Singh College,EXACT,False
"Lady Irwin College, New Delhi",Delhi,Science,"29,645",--,8.2,9,6.9,8.9,8.7,6.8,9,"Lady Irwin College, New Delhi",EXACT,False
"Gargi College, New Delhi",Delhi,Science,"14,045","13,331",8.2,8.5,7.2,8.6,8,7.8,9,"Gargi College, New Delhi",EXACT,False
Jesus and Mary College,Delhi,Science,"16,610",--,7.9,8.6,6.9,8.1,8.5,7.1,8.4,Jesus and Mary College,EXACT,False
Sri Guru Tegh Bahadur Khalsa College,Delhi,Science,"26,965","18,954",7.8,8.2,7.2,8.2,8.1,6.8,8.3,Sri Guru Tegh Bahadur Khalsa College,EXACT,False
Shaheed Rajguru College of Applied Sciences for,Delhi,Science,"17,840",--,7.9,8.3,7.3,8.3,8.8,6.5,8.1,Shaheed Rajguru College of Applied Sciences for,EXACT,False
